谓词,断言数,是否原始形式(raw:)
raw:活捉,41,1
raw:突破,41,1
raw:赠送,41,1
raw:进攻目标,41,1
raw:事件地点关联,40,1
raw:勾结,40,1
raw:担任书记,40,1
raw:行动关联,40,1
raw:举办地,39,1
raw:会议地点,39,1
raw:传达指示,39,1
raw:实践,39,1
raw:策应,39,1
raw:覆盖,39,1
raw:贡献,39,1
raw:关联地点-事件,38,1
raw:协作,38,1
raw:安葬,38,1
raw:策反关系,38,1
raw:组织-活动,38,1
raw:记录者,38,1
raw:领导区域,38,1
administratively_in,37,0
raw:人物与事件,37,1
raw:条约,37,1
raw:演变,37,1
raw:策动,37,1
raw:路线,37,1
raw:代表,36,1
raw:历史背景,36,1
raw:发表,36,1
raw:地点-人物,36,1
raw:场所,36,1
raw:实施区域,36,1
raw:改编为,36,1
raw:组建于,36,1
raw:背景事件,36,1
raw:转移地点,36,1
raw:领导活动区域,36,1
raw:交涉,35,1
raw:人物,35,1
raw:出卖,35,1
raw:围歼,35,1
raw:宣言,35,1
raw:工作关联,35,1
raw:战斗关联,35,1
raw:派往,35,1
raw:组成关系,35,1
raw:组织发展,35,1
raw:统战工作,35,1
raw:联合,35,1
raw:选举,35,1
raw:originated_from_event,34,1
raw:书写,34,1
raw:事件参与者,34,1
raw:打入,34,1
raw:执行主体,34,1
raw:改编关系,34,1
raw:组织者-组织,34,1
raw:行为,34,1
raw:输送,34,1
raw:领导于,34,1
raw:人-事,33,1
raw:从事,33,1
raw:作战目标,33,1
raw:发布者,33,1
raw:清剿,33,1
raw:组织-下属,33,1
raw:调任,33,1
raw:转战于,33,1
raw:迎接,33,1
raw:通过,33,1
raw:举办,32,1
raw:关联文献,32,1
raw:发展对象,32,1
raw:工作区域,32,1
raw:接收,32,1
raw:收录,32,1
raw:组织-事,32,1
raw:继任,32,1
raw:职务关系,32,1
raw:资助,32,1
raw:进入,32,1
raw:争取对象,31,1
raw:人,31,1
raw:人物与地点,31,1
raw:关联物,31,1
raw:击毙,31,1
raw:劝降,31,1
raw:反映,31,1
raw:取得,31,1
raw:坚守,31,1
raw:战略转移,31,1
raw:揭露,31,1
raw:支持者,31,1
raw:管辖范围,31,1
raw:纠正,31,1
raw:经过地,31,1
raw:联络对象,31,1
raw:embodied_by_organization,30,1
raw:决策关联,30,1
raw:击溃,30,1
raw:发起者,30,1
raw:战役关联,30,1
raw:战略关联,30,1
raw:执行任务,30,1
raw:涉及区域,30,1
raw:组织地点,30,1
raw:通知,30,1
raw:颁布,30,1
embodied_by_organization,29,0
raw:任务指派,29,1
raw:任教,29,1
raw:任职关联,29,1
raw:传播地,29,1
raw:分配,29,1
raw:制定者,29,1
raw:参与活动,29,1
raw:地理隶属,29,1
raw:实施主体,29,1
raw:建立于,29,1
raw:战略区域,29,1
raw:指挥地点,29,1
raw:渗透,29,1
raw:物资支援,29,1
raw:组织-执行,29,1
raw:组织演变,29,1
disseminates,28,0
raw:传递情报,28,1
raw:军事对抗,28,1
raw:发生地-人物,28,1
raw:因果,28,1
raw:夺取,28,1
raw:安排,28,1
raw:工作场所,28,1
raw:接应,28,1
raw:撤离,28,1
raw:整理,28,1
raw:背景关联,28,1
raw:要求,28,1
raw:讲话,28,1
raw:领导地点,28,1
raw:交通路线,27,1
raw:会师于,27,1
raw:关联地点与人物,27,1
raw:居住地,27,1
raw:建议,27,1
raw:职务关联,27,1
raw:阅读,27,1
raw:主办,26,1
raw:产物,26,1
raw:关联事件与人物,26,1
raw:出发地,26,1
raw:发行,26,1
raw:居住,26,1
raw:开展于,26,1
raw:所属单位,26,1
raw:指挥于,26,1
raw:指挥作战,26,1
raw:挺进,26,1
raw:提供情报,26,1
raw:支持关系,26,1
raw:行动方向,26,1
raw:行动目标,26,1
raw:转移方向,26,1
raw:进军,26,1
raw:rescued,25,1
raw:依托关系,25,1
raw:宣布,25,1
raw:建立者,25,1
raw:战斗对象,25,1
raw:战略要地,25,1
raw:所属关系,25,1
raw:留下,25,1
raw:继任关系,25,1
raw:题词,25,1
raw:事件-发生于,24,1
raw:事件时间,24,1
raw:交战,24,1
raw:倡导,24,1
raw:声援,24,1
raw:实行,24,1
raw:当选,24,1
raw:报道,24,1
raw:指示来源,24,1
raw:改组,24,1
raw:服务对象,24,1
raw:活动-地点,24,1
raw:消灭,24,1
raw:监视,24,1
raw:行进路线,24,1
raw:见证者,24,1
raw:调查,24,1
raw:领导斗争,24,1
active_during,23,0
raw:剿灭,23,1
raw:协作关系,23,1
raw:发展为,23,1
raw:发布地,23,1
raw:工作交接,23,1
raw:战略决策,23,1
raw:抓获,23,1
raw:投诚,23,1
raw:指示对象,23,1
raw:接受,23,1
raw:渡河,23,1
raw:率部,23,1
raw:精神传承,23,1
raw:组织形式,23,1
raw:组织行为,23,1
raw:行政区划隶属,23,1
raw:表彰,23,1
raw:事件-精神,22,1
raw:任务,22,1
raw:传唱,22,1
raw:关联人物事件,22,1
raw:军事部署,22,1
raw:发源地,22,1
raw:处理,22,1
raw:工作对象,22,1
raw:工作调动,22,1
raw:张贴,22,1
raw:战斗区域,22,1
raw:持有,22,1
raw:指示关系,22,1
raw:控制区域,22,1
raw:政权建设,22,1
raw:物资支持,22,1
raw:粉碎,22,1
raw:翻越,22,1
raw:获得,22,1
raw:行动路径,22,1
raw:运用,22,1
raw:革命活动,22,1
raw:事件-对象,21,1
raw:事件-组织,21,1
raw:传承,21,1
