谓词,断言数,是否原始形式(raw:)
raw:关联事件-纪念场所,1,1
raw:关联事件-组织者,1,1
raw:关联事件-营救对象,1,1
raw:关联事件-落脚点,1,1
raw:关联事件-重建区域,1,1
raw:关联事件-隐蔽据点,1,1
raw:关联事件-领导人,1,1
raw:关联事件-领导机构,1,1
raw:关联事件与交涉对象,1,1
raw:关联事件与创作,1,1
raw:关联事件与参与力量,1,1
raw:关联事件与参与者,1,1
raw:关联事件与发生区域,1,1
raw:关联事件与名录,1,1
raw:关联事件与处决地点,1,1
raw:关联事件与对象,1,1
raw:关联事件与支援地域,1,1
raw:关联事件与文物,1,1
raw:关联事件与研究机构,1,1
raw:关联事件与纪念地,1,1
raw:关联事件与纪念场所,1,1
raw:关联事件与载体,1,1
raw:关联事件与驻地,1,1
raw:关联事件场所,1,1
raw:关联事件迁移,1,1
raw:关联于,1,1
raw:关联人-地点,1,1
raw:关联人物-人物,1,1
raw:关联人物-地区,1,1
raw:关联人物-地点,1,1
raw:关联人物-武装力量,1,1
raw:关联人物与案件,1,1
raw:关联人物与组织,1,1
raw:关联人物与部队,1,1
raw:关联人物与革命根据地,1,1
raw:关联人物与领导,1,1
raw:关联人物地点,1,1
raw:关联人物组织,1,1
raw:关联势力,1,1
raw:关联区域-人物,1,1
raw:关联区域-组织,1,1
raw:关联单位-事件,1,1
raw:关联历史背景,1,1
raw:关联团体,1,1
raw:关联地-事,1,1
raw:关联地-地,1,1
raw:关联地-物,1,1
raw:关联地-魂,1,1
raw:关联地区-学校,1,1
raw:关联地名,1,1
raw:关联地点-地点,1,1
raw:关联地点-时间,1,1
raw:关联地点-部队,1,1
raw:关联地点与组织,1,1
raw:关联地物,1,1
raw:关联地理环境,1,1
raw:关联地理范围,1,1
raw:关联场景,1,1
raw:关联实践,1,1
raw:关联对象,1,1
raw:关联属性,1,1
raw:关联建筑,1,1
raw:关联思想,1,1
raw:关联战场,1,1
raw:关联战役遗址,1,1
raw:关联战斗,1,1
raw:关联执行机构,1,1
raw:关联技术,1,1
raw:关联据点,1,1
raw:关联政策与区域,1,1
raw:关联时期,1,1
raw:关联机构与地点,1,1
raw:关联概念,1,1
raw:关联水域-部队,1,1
raw:关联物品,1,1
raw:关联组织-机构,1,1
raw:关联组织与事件,1,1
raw:关联经济-军事,1,1
raw:关联群体,1,1
raw:关联者,1,1
raw:关联能力,1,1
raw:关联计划,1,1
raw:关联记录,1,1
raw:关联路径,1,1
raw:关联路线,1,1
raw:关联镇压对象,1,1
raw:关联项目,1,1
raw:关键一役,1,1
raw:关键地形,1,1
raw:关键地点,1,1
raw:关键物资支撑,1,1
raw:关键目标,1,1
raw:关键行动,1,1
raw:兴建者,1,1
raw:兵分,1,1
raw:兵力统计,1,1
raw:兵运对象,1,1
raw:兵运工作,1,1
raw:兵运渗透,1,1
raw:具体事件,1,1
raw:具体参与者,1,1
raw:具体实践,1,1
raw:具体战役,1,1
raw:具体负责,1,1
raw:具保,1,1
raw:具有,1,1
raw:养伤于,1,1
raw:养伤地点,1,1
raw:养父子,1,1
raw:兼任关系,1,1
raw:兼任司令员,1,1
raw:兼任宣传委员,1,1
raw:兼任宣传部长,1,1
raw:兼任所长,1,1
raw:兼职教师,1,1
raw:内奸关系,1,1
raw:内容指导,1,1
raw:内容构成,1,1
raw:内容规定,1,1
raw:内容贡献关系,1,1
raw:内容贡献者,1,1
raw:内应配合,1,1
raw:内线联系,1,1
raw:内部人员,1,1
raw:内部斗争,1,1
raw:内部派系,1,1
raw:再调查核实,1,1
raw:冒险找,1,1
raw:写信于,1,1
raw:写信汇报,1,1
raw:写信规劝,1,1
raw:写进,1,1
raw:军事-地点,1,1
raw:军事-对抗,1,1
raw:军事-战役,1,1
raw:军事-支援,1,1
raw:军事-机构,1,1
raw:军事-金融,1,1
raw:军事与政治结合,1,1
raw:军事交锋,1,1
raw:军事伏击,1,1
raw:军事会剿于,1,1
raw:军事会师,1,1
raw:军事依托,1,1
raw:军事保障,1,1
raw:军事出击,1,1
raw:军事击溃,1,1
raw:军事分歧,1,1
raw:军事包围圈,1,1
raw:军事合作,1,1
raw:军事围攻,1,1
raw:军事基地,1,1
raw:军事堵截,1,1
raw:军事威慑,1,1
raw:军事威胁对象,1,1
raw:军事对峙,1,1
raw:军事封锁线,1,1
raw:军事平息,1,1
raw:军事强攻,1,1
raw:军事态势,1,1
raw:军事成果,1,1
raw:军事打击/肃清,1,1
raw:军事打击于,1,1
raw:军事打击对象,1,1
raw:军事打击目标,1,1
raw:军事抓捕,1,1
raw:军事接管,1,1
raw:军事改编,1,1
raw:军事攻坚,1,1
raw:军事政治成果,1,1
raw:军事政治攻势,1,1
raw:军事整编,1,1
raw:军事斗争,1,1
raw:军事歼灭,1,1
raw:军事活动-区域,1,1
raw:军事渗透,1,1
raw:军事溃逃,1,1
raw:军事物资,1,1
raw:军事理论争议,1,1
raw:军事突围,1,1
raw:军事策应,1,1
raw:军事策略,1,1
raw:军事联系,1,1
raw:军事背景,1,1
raw:军事行动-保卫对象,1,1
raw:军事行动-区域,1,1
raw:军事行动-参与部队,1,1
raw:军事行动-对象,1,1
raw:军事行动-战斗,1,1
raw:军事行动-战略目标,1,1
raw:军事行动-控制区域,1,1
raw:军事行动-根据地,1,1
raw:军事行动-目的地,1,1
raw:军事行动-突破防线,1,1
raw:军事行动-结果,1,1
raw:军事行动-路线,1,1
raw:军事行动-防御工事,1,1
raw:军事行动区域关联,1,1
raw:军事行动影响地,1,1
raw:军事行动背景,1,1
raw:军事行动路径,1,1
raw:军事训练,1,1
raw:军事调停,1,1
raw:军事调动,1,1
raw:军事负责人,1,1
raw:军事路线,1,1
raw:军事转战,1,1
raw:军事转移,1,1
raw:军事转移路线,1,1
raw:军事进军,1,1
raw:军事进驻,1,1
raw:军事追击,1,1
raw:军事部署关联,1,1
raw:军事防堵,1,1
raw:军事防守,1,1
raw:军事防御区域,1,1
raw:军事驻扎,1,1
raw:军政结合,1,1
raw:军民情深,1,1
raw:军民配合,1,1
raw:军民鱼水情,1,1
raw:军阀部署,1,1
raw:冤案平反,1,1
raw:冲散,1,1
raw:冲杀,1,1
raw:冲破/抵达,1,1
raw:冲突/交涉,1,1
raw:冲突/镇压,1,1
raw:冲突与和解,1,1
raw:冲过,1,1
raw:决定/组建,1,1
raw:决定/转移,1,1
raw:决定举行,1,1
raw:决定于,1,1
raw:决定使用,1,1
raw:决定准备,1,1
raw:决定发动,1,1
raw:决定发展,1,1
raw:决定召开,1,1
raw:决定展开根据地,1,1
raw:决定建立根据地于,1,1
raw:决定开火,1,1
raw:决定扩编,1,1
raw:决定放弃,1,1
raw:决定根据地,1,1
raw:决定歼灭敌军于,1,1
raw:决定派人参加,1,1
raw:决定清剿,1,1
raw:决定由赣东南苏区和闽西苏区组成于,1,1
raw:决定疏散,1,1
raw:决定组建,1,1
raw:决定调任,1,1
raw:决定转移,1,1
raw:决定除掉,1,1
raw:决定首战,1,1
raw:决定首战打,1,1
raw:决定首战攻击,1,1
raw:决心,1,1
raw:决心攻下,1,1
raw:决策-人物,1,1
raw:决策-实施区域,1,1
raw:决策-实践,1,1
raw:决策-方案,1,1
raw:决策/处置,1,1
raw:决策/指挥,1,1
raw:决策与创建,1,1
raw:决策与行动,1,1
raw:决策中心,1,1
raw:决策于,1,1
raw:决策关系,1,1
raw:决策内容,1,1
raw:决策制定,1,1
raw:决策处理,1,1
raw:决策实施区域,1,1
raw:决策指挥,1,1
raw:决策撤出,1,1
raw:决策机构-会议,1,1
raw:决策机构-对象,1,1
raw:决策活动,1,1
raw:决策结果,1,1
raw:决策者-政策,1,1
raw:决议-事件,1,1
raw:决议备案,1,1
raw:决议建立根据地,1,1
raw:决议执行地,1,1
raw:决议批判,1,1
raw:决议起草,1,1
raw:准予通缉,1,1
raw:准印,1,1
raw:准备会合,1,1
raw:准备关系,1,1
raw:准备去,1,1
raw:准备发动,1,1
raw:准备开展,1,1
raw:准备强渡,1,1
raw:准备攻城,1,1
raw:准备渡江,1,1
raw:准备过,1,1
raw:减租减息,1,1
raw:减租退押斗争,1,1
raw:减负,1,1
raw:减轻负担,1,1
raw:凝聚,1,1
raw:凭吊于,1,1
raw:凭证关系,1,1
raw:出任,1,1
raw:出兵,1,1
raw:出击击退,1,1
raw:出发点,1,1
raw:出土地点,1,1
raw:出席指导,1,1
raw:出席讲话,1,1
raw:出支,1,1
raw:出版关联,1,1
raw:出版内容,1,1
raw:出版发行,1,1
raw:出版地点,1,1
raw:出版平台,1,1
raw:出版方,1,1
raw:出生/工作,1,1
raw:出生/遇害地,1,1
raw:出生地关联,1,1
raw:出资保释,1,1
raw:出资出力,1,1
raw:出身,1,1
raw:出身地,1,1
raw:出面,1,1
raw:出面谈判,1,1
raw:击伤生擒,1,1
raw:击倒,1,1
raw:击毁,1,1
raw:击毙/俘获,1,1
raw:击毙对象,1,1
raw:击溃匪团,1,1
raw:击溃对象,1,1
raw:击落,1,1
raw:函索,1,1
raw:凿通,1,1
raw:刁难,1,1
raw:分两路,1,1
raw:分住,1,1
raw:分兵/行动,1,1
raw:分兵于,1,1
raw:分化控制关系,1,1
raw:分化收买,1,1
raw:分化瓦解敌人,1,1
raw:分化谈判,1,1
raw:分发对象,1,1
raw:分发渠道,1,1
raw:分发者,1,1
raw:分头行动,1,1
raw:分工与延续,1,1
raw:分工负责,1,1
raw:分批撤到,1,1
raw:分持,1,1
raw:分散游击,1,1
raw:分析于,1,1
raw:分析比对,1,1
raw:分析特点,1,1
raw:分析部署,1,1
raw:分派,1,1
raw:分派/训练,1,1
raw:分浮财,1,1
raw:分田,1,1
raw:分界线,1,1
raw:分稻谷,1,1
raw:分类处置,1,1
raw:分粮/写标语,1,1
raw:分粮/宣传,1,1
raw:分粮/道谢,1,1
raw:分粮食,1,1
raw:分肉,1,1
raw:分股隐蔽于,1,1
raw:分裂,1,1
raw:分裂行为,1,1
raw:分赃,1,1
raw:分路指向,1,1
raw:分路进入,1,1
raw:分路进逼,1,1
raw:分路连占,1,1
raw:分送,1,1
raw:分部所在地,1,1
raw:分配/审判,1,1
raw:分配任务,1,1
raw:分配到,1,1
raw:分配地点,1,1
raw:分配控制,1,1
raw:分配物资,1,1
raw:分配田地,1,1
raw:分配给,1,1
raw:分配至,1,1
raw:分配骨干,1,1
raw:分驻于,1,1
raw:切断线路,1,1
raw:刊登/社论,1,1
raw:刊登内容,1,1
raw:划入,1,1
raw:划出,1,1
raw:划分决策者,1,1
raw:划定,1,1
raw:划归调整,1,1
raw:划船,1,1
raw:划船渡江,1,1
raw:列,1,1
raw:列为文保,1,1
raw:列举,1,1
raw:列席会议,1,1
raw:创作/主办,1,1
raw:创作/参与,1,1
raw:创作/散发,1,1
raw:创作/演出,1,1
raw:创作与导演,1,1
raw:创作与抗争,1,1
raw:创作人员,1,1
raw:创作传播者,1,1
raw:创作原型,1,1
raw:创作发行,1,1
raw:创作指导,1,1
raw:创作物,1,1
raw:创作相关,1,1
raw:创作者-文献,1,1
raw:创作载体,1,1
raw:创办/任教,1,1
raw:创办/指导,1,1
raw:创办/管理,1,1
raw:创办/编排,1,1
raw:创办/领导,1,1
raw:创办与领导,1,1
raw:创办主体,1,1
raw:创办事件,1,1
raw:创办关联,1,1
raw:创办办学,1,1
raw:创办单位,1,1
raw:创办地点,1,1
raw:创办并担任,1,1
raw:创办指导,1,1
raw:创办据点,1,1
raw:创办管理,1,1
raw:创办者-事件,1,1
raw:创办者-企业,1,1
raw:创办者-教育机构,1,1
raw:创办者-物,1,1
raw:创办者与被创办物,1,1
raw:创办领导,1,1
raw:创始人,1,1
raw:创建/策应,1,1
raw:创建/编辑,1,1
raw:创建/领导,1,1
raw:创建与保卫,1,1
raw:创建事件,1,1
raw:创建人,1,1
raw:创建保卫,1,1
raw:创建区域,1,1
raw:创建单位,1,1
raw:创建地,1,1
raw:创建地点,1,1
raw:创建者-作品,1,1
raw:创建者-对象,1,1
raw:创建者-成果,1,1
raw:创建者-据点,1,1
raw:创建者-教育基地,1,1
raw:创建者-活动区域,1,1
raw:创建者与根据地,1,1
raw:创新,1,1
raw:删去,1,1
raw:判决,1,1
raw:判定关系,1,1
raw:利用/实施,1,1
raw:利用优势办报,1,1
raw:利用地形,1,1
raw:利用契机,1,1
raw:利用对象,1,1
raw:利用开展活动,1,1
raw:利用心理,1,1
raw:利用政策,1,1
raw:利用时机撤退,1,1
raw:利用矛盾,1,1
raw:利用设施,1,1
raw:利益关联,1,1
raw:利诱,1,1
raw:到达休整,1,1
raw:制作/书写,1,1
raw:制作并散发,1,1
raw:制作方-物品,1,1
raw:制定/发布,1,1
raw:制定/执行,1,1
raw:制定/推行,1,1
raw:制定主体-政策,1,1
raw:制定于,1,1
raw:制定单位,1,1
raw:制定原则,1,1
raw:制定发布,1,1
raw:制定实施,1,1
raw:制定对象,1,1
raw:制定方,1,1
raw:制定方-事件,1,1
raw:制定策略,1,1
raw:制定者-法规,1,1
raw:制定者-计划,1,1
raw:制度,1,1
raw:制度体现,1,1
raw:制度保障,1,1
raw:制度实践-中心,1,1
raw:制度确立者,1,1
raw:制度约束,1,1
raw:制服对象,1,1
raw:制服押解,1,1
raw:制止/扭倒,1,1
raw:制约,1,1
raw:制订,1,1
raw:制造恐怖,1,1
raw:刷写,1,1
raw:刺倒,1,1
raw:刺探,1,1
raw:刺探破坏,1,1
raw:刺死,1,1
raw:刻制,1,1
raw:刻印,1,1
raw:刻印与宣传,1,1
raw:刻印与散发,1,1
raw:刻印制作,1,1
raw:刻印据点负责人,1,1
raw:刻印者,1,1
raw:刻痕,1,1
raw:前任,1,1
raw:前后事件,1,1
raw:前因后果,1,1
raw:前序事件,1,1
raw:前往地点,1,1
raw:前往学习,1,1
raw:前往找党,1,1
raw:前往接管,1,1
raw:前往联络,1,1
raw:前身-组织,1,1
raw:前身关系,1,1
raw:前身基础,1,1
raw:前进方向,1,1
raw:前雇主关系,1,1
raw:剥削于,1,1
raw:剥削对象,1,1
raw:剥削网络,1,1
raw:剥削行为,1,1
raw:剥削迫害,1,1
raw:剪断,1,1
raw:副主任,1,1
raw:割头示众,1,1
raw:割据,1,1
raw:剿匪作战,1,1
raw:剿匪打击,1,1
raw:剿匪行动路线,1,1
raw:劈死,1,1
raw:力主,1,1
raw:劝告,1,1
raw:劝告-反叛,1,1
raw:劝告与警告,1,1
raw:劝告关系,1,1
raw:劝导对象,1,1
raw:劝导者,1,1
raw:劝慰,1,1
raw:劝服,1,1
raw:劝留,1,1
raw:劝诫,1,1
raw:劝诱/调离,1,1
raw:劝说者,1,1
raw:劝说起义,1,1
raw:劝说遣散宪兵,1,1
raw:劝谏对象,1,1
raw:劝返,1,1
raw:劝避,1,1
raw:劝阻关系,1,1
raw:劝阻行为,1,1
raw:劝降联络,1,1
raw:劝降行为,1,1
raw:办公于,1,1
raw:办学,1,1
raw:办学地点,1,1
raw:办学支持,1,1
raw:办校,1,1
raw:办运,1,1
raw:功能关联,1,1
raw:功能转变,1,1
raw:功能隶属,1,1
raw:加入中国共产党于,1,1
raw:加入关系,1,1
raw:加工,1,1
raw:加强保护,1,1
raw:加强者,1,1
raw:加紧,1,1
raw:加速,1,1
raw:劣势于,1,1
raw:动作,1,1
raw:动力,1,1
raw:动员/执行,1,1
raw:动员参军,1,1
raw:动员参军于,1,1
raw:动员堵截敌军去路,1,1
raw:动员归队,1,1
raw:动员搜查,1,1
raw:动摇,1,1
raw:努力,1,1
raw:劫夺,1,1
raw:劫夺目标,1,1
raw:劫扣,1,1
raw:劫狱,1,1
raw:劳动串连,1,1
raw:劳动宣传,1,1
raw:势力-势力,1,1
raw:势力伸展,1,1
raw:势力关联,1,1
raw:势力博弈,1,1
raw:勒令交银元,1,1
raw:勘察,1,1
raw:勘测施工,1,1
raw:募捐,1,1
raw:募捐支援,1,1
raw:募集,1,1
raw:勾引,1,1
raw:勾结/叛乱,1,1
raw:勾结关系,1,1
raw:勾结策划,1,1
raw:包办,1,1
raw:包办工作,1,1
raw:包围全歼,1,1
raw:包围地点,1,1
raw:包围清剿,1,1
raw:包围破坏,1,1
raw:包围突袭,1,1
raw:包围缴械,1,1
raw:包围缴获,1,1
raw:包干清剿,1,1
raw:包庇,1,1
raw:包庇关系,1,1
raw:包抄,1,1
raw:包抄作战,1,1
raw:化名使用,1,1
raw:化名掩护,1,1
raw:北上至,1,1
raw:北渡,1,1
raw:北渡进驻,1,1
raw:北移,1,1
raw:北进,1,1
raw:匪患关联,1,1
raw:区分,1,1
raw:区域-敌占区,1,1
raw:区域-机构,1,1
raw:区域-活动,1,1
raw:区域-组织,1,1
raw:区域与事件,1,1
raw:区域与组织关系,1,1
raw:区域关系,1,1
raw:区域扩展,1,1
raw:医务组长,1,1
raw:医治/嘱托,1,1
raw:医疗支持,1,1
raw:医疗救助,1,1
raw:医疗救治点,1,1
raw:医疗转运,1,1
raw:匿迹,1,1
raw:升格,1,1
raw:升起,1,1
raw:协作-事件,1,1
raw:协作/发展党员,1,1
raw:协作方,1,1
raw:协剿对象,1,1
raw:协助/同情,1,1
raw:协助/派遣,1,1
raw:协助举办,1,1
raw:协助人员,1,1
raw:协助作保,1,1
raw:协助保管,1,1
raw:协助入党,1,1
raw:协助创办,1,1
raw:协助制订,1,1
raw:协助剿匪,1,1
raw:协助单位,1,1
raw:协助发动兵暴,1,1
raw:协助处理,1,1
raw:协助安葬,1,1
raw:协助工作,1,1
raw:协助平息追查,1,1
raw:协助应对,1,1
raw:协助建立根据地,1,1
raw:协助开展,1,1
raw:协助恢复,1,1
raw:协助成立,1,1
raw:协助打击,1,1
raw:协助拟定,1,1
raw:协助指挥,1,1
raw:协助搜捕,1,1
raw:协助改装,1,1
raw:协助活捉,1,1
raw:协助渡河,1,1
raw:协助潜入,1,1
raw:协助澄清,1,1
raw:协助组织,1,1
raw:协助编辑,1,1
raw:协助者-组织,1,1
raw:协助者与指导者,1,1
raw:协助者与被协助者,1,1
raw:协助联系,1,1
raw:协助获释,1,1
raw:协助营救,1,1
raw:协助装配者,1,1
raw:协助通过关卡,1,1
raw:协助释放,1,1
raw:协同/作战,1,1
raw:协同力量,1,1
raw:协同单位,1,1
raw:协同建设,1,1
raw:协同攻占,1,1
raw:协同部署,1,1
raw:协缉,1,1
raw:协缉关系,1,1
raw:协调-防御点,1,1
raw:协调者,1,1
raw:协调解决,1,1
raw:协防,1,1
raw:单车赴任,1,1
raw:南下受挫于,1,1
raw:南下宣传,1,1
raw:南下至,1,1
raw:南下途经,1,1
raw:南北会师,1,1
raw:南进/截击,1,1
raw:占领-地点,1,1
raw:占领/巩固,1,1
raw:占领利用,1,1
raw:占领行动,1,1
raw:印信工具,1,1
raw:印制,1,1
raw:印制于,1,1
raw:印制地点,1,1
raw:印制对象,1,1
raw:印刷地,1,1
raw:印发宣传,1,1
raw:卷入,1,1
raw:历史与现实,1,1
raw:历史事件-人物,1,1
raw:历史人物关联,1,1
raw:历史作用,1,1
raw:历史因果,1,1
raw:历史地点,1,1
raw:历史场景,1,1
raw:历史定位,1,1
raw:历史定性,1,1
raw:历史实践,1,1
raw:历史对比,1,1
raw:历史影响,1,1
raw:历史总结,1,1
raw:历史意义,1,1
raw:历史成果,1,1
raw:历史沿革,1,1
raw:历史活动,1,1
raw:历史经历,1,1
raw:历史考据,1,1
raw:历史背景-人物,1,1
raw:历史见证者,1,1
raw:历史规律,1,1
raw:历史记载,1,1
raw:历史记载差异,1,1
raw:历史贡献,1,1
raw:历史起点,1,1
raw:历史足迹,1,1
raw:历史转折,1,1
raw:压下来,1,1
raw:压制关系,1,1
raw:压制破坏,1,1
raw:压制者,1,1
raw:压迫-地点,1,1
raw:压迫/剥削,1,1
raw:原关押地,1,1
raw:原则纠正,1,1
raw:原名,1,1
raw:原型人物,1,1
raw:原型关联,1,1
raw:原属,1,1
raw:原属组织,1,1
raw:原负责人,1,1
raw:原身份,1,1
raw:县委所在地,1,1
raw:参与-人物,1,1
raw:参与-军事行动,1,1
raw:参与-区域,1,1
raw:参与-回应,1,1
raw:参与-安排,1,1
raw:参与-建立,1,1
raw:参与-战斗,1,1
raw:参与-打击对象,1,1
raw:参与-案件,1,1
raw:参与-活动,1,1
raw:参与-组织,1,1
raw:参与-被参与,1,1
raw:参与-被通缉,1,1
raw:参与/会师,1,1
raw:参与/协助,1,1
raw:参与/回忆,1,1
raw:参与/失败,1,1
raw:参与/学习,1,1
raw:参与/影响,1,1
raw:参与/抓捕,1,1
raw:参与/掩护,1,1
raw:参与/擒获,1,1
raw:参与/演讲,1,1
raw:参与/筹备,1,1
raw:参与/组建,1,1
raw:参与/联系,1,1
raw:参与/被拘,1,1
raw:参与/践行,1,1
raw:参与人,1,1
raw:参与人员关联,1,1
raw:参与仪式,1,1
raw:参与作品,1,1
raw:参与作战,1,1
raw:参与修复,1,1
raw:参与创建与保卫,1,1
raw:参与创立,1,1
raw:参与制定方针,1,1
raw:参与协助,1,1
raw:参与协商,1,1
raw:参与单位-事件,1,1
raw:参与历史记载,1,1
raw:参与反对,1,1
raw:参与发动,1,1
raw:参与回忆,1,1
raw:参与声讨,1,1
raw:参与学习,1,1
raw:参与对抗,1,1
raw:参与平定叛乱,1,1
raw:参与并牺牲于,1,1
raw:参与应对,1,1
raw:参与建立与拥护,1,1
raw:参与惩治,1,1
raw:参与报道,1,1
raw:参与捕获,1,1
raw:参与掩护,1,1
raw:参与撰文,1,1
raw:参与救治,1,1
raw:参与方-战役,1,1
raw:参与清剿,1,1
raw:参与策动起义,1,1
raw:参与管理,1,1
raw:参与组织活动,1,1
raw:参与绘制,1,1
raw:参与统战工作,1,1
raw:参与统治,1,1
raw:参与编制,1,1
raw:参与罢工,1,1
raw:参与者-区域,1,1
raw:参与者-文献,1,1
raw:参与者-活动,1,1
raw:参与者/受政策影响者,1,1
raw:参与者与组织,1,1
raw:参与行为,1,1
raw:参与讨论,1,1
raw:参与训练,1,1
raw:参与设计,1,1
raw:参与调查,1,1
raw:参与调解,1,1
raw:参与谈判于,1,1
raw:参与起义,1,1
raw:参与追悼活动,1,1
raw:参与重建,1,1
raw:参与镇压,1,1
raw:参与阶段,1,1
raw:参与驱逐,1,1
raw:参会受奖,1,1
raw:参军关系,1,1
raw:参军参干,1,1
raw:参军组建,1,1
raw:参军编入,1,1
raw:参加/组建,1,1
raw:参加与指导,1,1
raw:参加典礼,1,1
raw:参加学习,1,1
raw:参加工作,1,1
raw:参加并入党,1,1
raw:参加革命,1,1
raw:参战力量,1,1
raw:参战地,1,1
raw:参战立功,1,1
raw:参战部队,1,1
raw:参演,1,1
raw:参观巡视,1,1
raw:参观教育,1,1
raw:参谋长,1,1
raw:参赛,1,1
raw:反共基地,1,1
raw:反共宣传,1,1
raw:反共活动,1,1
raw:反击行动,1,1
raw:反制,1,1
raw:反动分子-镇压地点,1,1
raw:反动势力-事件,1,1
raw:反动势力与革命力量,1,1
raw:反动势力斗争,1,1
raw:反动措施,1,1
raw:反动教材,1,1
raw:反动活动地点,1,1
raw:反动罪状指控,1,1
raw:反包围,1,1
raw:反包围歼灭,1,1
raw:反围剿作战,1,1
raw:反围剿斗争,1,1
raw:反对/不妥协,1,1
raw:反对/叛变,1,1
raw:反对者,1,1
raw:反工作关系,1,1
raw:反扫荡,1,1
raw:反抗与斗争,1,1
raw:反抗事件,1,1
raw:反掉,1,1
raw:反攻倒算,1,1
raw:反映于,1,1
raw:反映内容,1,1
raw:反映情况,1,1
raw:反清乡斗争,1,1
raw:反清剿,1,1
raw:反贪污斗争,1,1
raw:反间谍斗争,1,1
raw:反驳,1,1
raw:发信地,1,1
raw:发出命令于,1,1
raw:发出指示,1,1
raw:发出攻击令,1,1
raw:发出通告于,1,1
raw:发动-区域,1,1
raw:发动/宣传,1,1
raw:发动/援助,1,1
raw:发动/支援,1,1
raw:发动与组织,1,1
raw:发动地,1,1
raw:发动妇女服务,1,1
raw:发动带领,1,1
raw:发动攻势,1,1
raw:发动组织,1,1
raw:发动罢工,1,1
raw:发动群众组织,1,1
raw:发动联系,1,1
raw:发动起义,1,1
raw:发展-审查,1,1
raw:发展-改编,1,1
raw:发展-演变,1,1
raw:发展-转移,1,1
raw:发展/更名,1,1
raw:发展/演变,1,1
raw:发展为团员,1,1
raw:发展事件,1,1
raw:发展会员,1,1
raw:发展党员地,1,1
raw:发展党组织,1,1
raw:发展定位,1,1
raw:发展建立,1,1
raw:发展结果,1,1
raw:发展至,1,1
raw:发展阶段,1,1
raw:发布于,1,1
raw:发布动员令,1,1
raw:发布区域,1,1
raw:发布命令,1,1
raw:发布媒介,1,1
raw:发布宣言,1,1
raw:发布对象,1,1
raw:发布指令,1,1
raw:发布指导,1,1
raw:发布机构-媒体,1,1
raw:发布机构-执行单位,1,1
raw:发布机构-政策,1,1
raw:发布机构-文件,1,1
raw:发布机构-文献,1,1
raw:发布电报,1,1
raw:发布者-事件,1,1
raw:发布者-内容,1,1
raw:发布背景,1,1
raw:发布计划,1,1
raw:发布载体-时间,1,1
raw:发布通令,1,1
raw:发布通知,1,1
raw:发布通知要求准备于,1,1
raw:发布逮捕令,1,1
raw:发扬民主,1,1
raw:发扬精神于,1,1
raw:发报方-接收方,1,1
raw:发掘,1,1
raw:发文对象,1,1
raw:发明,1,1
raw:发来,1,1
raw:发炮炸毁,1,1
raw:发现于,1,1
raw:发现地点,1,1
raw:发现抓获,1,1
raw:发现者与被发现者,1,1
raw:发生事件于,1,1
raw:发生于/波及,1,1
raw:发生地-时期,1,1
raw:发生地-组织,1,1
raw:发生地-载体,1,1
raw:发生地点-针对对象,1,1
raw:发生地点关系,1,1
raw:发生地点关联,1,1
raw:发生领域,1,1
raw:发电,1,1
raw:发电报,1,1
raw:发稿,1,1
raw:发给,1,1
raw:发行-地域,1,1
raw:发行主体,1,1
raw:发行于,1,1
raw:发行人-刊物,1,1
raw:发行地关联,1,1
raw:发行机构,1,1
raw:发行机构-流通区域,1,1
raw:发行至,1,1
raw:发行范围,1,1
raw:发行负责人,1,1
raw:发表关系,1,1
raw:发表宣言,1,1
raw:发表报告,1,1
raw:发表报道,1,1
raw:发表者-刊物,1,1
raw:发表谈话,1,1
raw:发表辞职,1,1
raw:发起-事件,1,1
raw:发起-响应,1,1
raw:发起-活动,1,1
raw:发起/宣传,1,1
raw:发起人与组织,1,1
raw:发起关系,1,1
raw:发起冲锋,1,1
raw:发起参加,1,1
raw:发起战役,1,1
raw:发起攻击,1,1
raw:发起方-事件,1,1
raw:发起方-行动,1,1
raw:发起筹建,1,1
raw:发起者-事件,1,1
raw:发起者-活动场所,1,1
raw:发起者与组织,1,1
raw:发起负责,1,1
raw:发起起义,1,1
raw:发起进攻,1,1
raw:发送,1,1
raw:取,1,1
raw:取保,1,1
raw:取保释放,1,1
raw:取缔于,1,1
raw:取胜,1,1
raw:受,1,1
raw:受...影响,1,1
raw:受伤关联,1,1
raw:受伤逃脱,1,1
raw:受保护,1,1
raw:受保障于,1,1
raw:受到,1,1
raw:受到表扬,1,1
raw:受制于,1,1
raw:受助于,1,1
raw:受助对象,1,1
raw:受压迫,1,1
raw:受命,1,1
raw:受命于,1,1
raw:受困,1,1
raw:受处分,1,1
raw:受处置,1,1
raw:受害于,1,1
raw:受影响,1,1
raw:受思想影响,1,1
raw:受打击因,1,1
raw:受指导,1,1
raw:受挫于,1,1
raw:受挫导致,1,1
raw:受控制,1,1
raw:受教,1,1
raw:受教于,1,1
raw:受教唆者,1,1
raw:受教育,1,1
raw:受派,1,1
raw:受派工作,1,1
raw:受激励,1,1
raw:受熏陶,1,1
raw:受熏陶于,1,1
raw:受牵连,1,1
raw:受理,1,1
raw:受益于,1,1
raw:受益对象,1,1
raw:受益方,1,1
raw:受训于,1,1
raw:受训地点,1,1
raw:受赞扬者,1,1
raw:受赠关系,1,1
raw:受降,1,1
