原始谓词,规范谓词,断言数
raw:工作单位,raw:工作单位,91
raw:体现,embodied_in_event,90
raw:依托地,raw:依托地,90
governed,raw:governed,88
raw:伏击,raw:伏击,88
raw:协作,collaborated_with,87
raw:联络关系,contacted,87
raw:支援对象,raw:支援对象,86
raw:创建者,created,85
raw:参加,participated_in,85
raw:实施地,raw:实施地,85
raw:领导者,led,85
raw:行军路线,traveled_to,84
raw:执行者-事件,carried_out,81
raw:行动区域,stationed_at,81
traveled_to,raw:traveled_to,81
raw:打击,raw:打击,80
raw:支持者,supported,80
symbolized_by,raw:symbolized_by,80
raw:组织联系,contacted,79
raw:参与地,raw:参与地,78
raw:管理,governed,78
raw:经过,traveled_to,78
raw:协作关系,collaborated_with,77
rescued,rescued,77
raw:推广,raw:推广,76
raw:开辟,raw:开辟,75
raw:指导关系,guided,75
raw:编入,raw:编入,75
raw:同属,colleague_of,74
raw:指挥关系,commanded,74
documents,raw:documents,73
raw:人物-人物,raw:人物-人物,73
raw:率领,led,73
raw:领导-地点,raw:领导-地点,73
raw:提供,raw:提供,72
raw:攻打,raw:攻打,72
raw:策划,raw:策划,72
raw:调动,raw:调动,71
raw:相关地点,raw:相关地点,70
appointed,raw:appointed,69
raw:慰问,raw:慰问,69
raw:释放,raw:释放,69
raw:管理,raw:管理,68
raw:斗争对象,opposed,67
raw:进驻,stationed_at,67
raw:参与方,raw:参与方,66
raw:地点-事件,raw:地点-事件,66
raw:活动地域,active_at,65
raw:领导/参与,raw:领导/参与,64
raw:事件地点,occurred_at,63
raw:发生地-事件,occurred_at,63
raw:围剿,raw:围剿,63
raw:应对,raw:应对,63
raw:结果,raw:结果,63
raw:发生时间,raw:发生时间,62
raw:指导关系,raw:指导关系,62
raw:传递,raw:传递,61
raw:逮捕,raw:逮捕,61
raw:遭遇,raw:遭遇,61
raw:支撑,raw:支撑,60
raw:联系人,contacted,60
raw:接待,raw:接待,59
raw:组织事件,organized,59
raw:经过,raw:经过,59
raw:缴获,raw:缴获,59
raw:阻击,raw:阻击,59
raw:依据,raw:依据,58
raw:指导者,guided,58
reported_to,raw:reported_to,58
trained,raw:trained,58
criticized,criticized,57
raw:作战地点,raw:作战地点,57
raw:贯彻,raw:贯彻,57
arrested_at,raw:arrested_at,56
raw:参与人物,participated_in,56
raw:战斗,fought_at,56
raw:控制,governed,56
raw:遇害地点,died_at,56
raw:保障,raw:保障,55
raw:包围,raw:包围,55
raw:牺牲于,died_at,55
raw:统战对象,raw:统战对象,55
raw:继承,raw:继承,55
raw:载体,raw:载体,55
raw:成果,raw:成果,54
raw:迫害,raw:迫害,54
raw:声明,raw:声明,53
raw:执行者,carried_out,53
raw:抓捕,raw:抓捕,53
raw:推行,raw:推行,53
raw:目的,raw:目的,53
