原始谓词,规范谓词,断言数
raw:事件-运动,raw:事件-运动,1
raw:事件-配套措施,raw:事件-配套措施,1
raw:事件-领导机构,led,1
raw:事件与事件,raw:事件与事件,1
raw:事件与事件关联,raw:事件与事件关联,1
raw:事件与会议,raw:事件与会议,1
raw:事件与区域关联,raw:事件与区域关联,1
raw:事件与参与群体,raw:事件与参与群体,1
raw:事件与发生地,occurred_at,1
raw:事件与地域关联,raw:事件与地域关联,1
raw:事件与精神,raw:事件与精神,1
raw:事件与组织关联,raw:事件与组织关联,1
raw:事件与行为关联,raw:事件与行为关联,1
raw:事件人物,raw:事件人物,1
raw:事件参与者,participated_in,1
raw:事件参与者-地点,raw:事件参与者-地点,1
raw:事件参与者-目标对象,raw:事件参与者-目标对象,1
raw:事件发生、目标地,raw:事件发生、目标地,1
raw:事件发生命,raw:事件发生命,1
raw:事件发生地-目标人物,raw:事件发生地-目标人物,1
raw:事件发生地点与负责人,raw:事件发生地点与负责人,1
raw:事件发起人,organized,1
raw:事件发起机构,raw:事件发起机构,1
raw:事件发起者,raw:事件发起者,1
raw:事件场所,raw:事件场所,1
raw:事件对象,raw:事件对象,1
raw:事件时间,occurred_during,1
raw:事件目的地,raw:事件目的地,1
raw:事件类型,raw:事件类型,1
raw:事件行为,raw:事件行为,1
raw:事件表现,raw:事件表现,1
raw:事件触发,raw:事件触发,1
raw:事件记录,raw:事件记录,1
raw:事件起因,raw:事件起因,1
raw:事件路径,raw:事件路径,1
raw:事件转移,raw:事件转移,1
raw:事件驱动,raw:事件驱动,1
raw:事务关联,raw:事务关联,1
raw:事变,raw:事变,1
raw:事物-策略,raw:事物-策略,1
raw:事迹创作,raw:事迹创作,1
raw:事迹影响,influenced,1
raw:事迹讲述者,raw:事迹讲述者,1
raw:二渡,traveled_to,1
raw:云集,raw:云集,1
raw:互动/对抗,raw:互动/对抗,1
raw:互动关联,raw:互动关联,1
raw:互动地点,raw:互动地点,1
raw:互助对象,raw:互助对象,1
raw:互相尊重,raw:互相尊重,1
raw:交予枪支,raw:交予枪支,1
raw:交产,member_of,1
raw:交代任务,raw:交代任务,1
raw:交借,raw:交借,1
raw:交出武器,raw:交出武器,1
raw:交出物资,raw:交出物资,1
raw:交往关系,raw:交往关系,1
raw:交往对象,raw:交往对象,1
raw:交情关联,raw:交情关联,1
raw:交战,fought_at,1
raw:交战,opposed,1
raw:交战/突破,raw:交战/突破,1
raw:交战地点,raw:交战地点,1
raw:交战场,raw:交战场,1
raw:交战方,raw:交战方,1
raw:交接关系,raw:交接关系,1
raw:交接地点,raw:交接地点,1
raw:交接归建,raw:交接归建,1
raw:交接防务,raw:交接防务,1
raw:交易媒介,raw:交易媒介,1
raw:交来,raw:交来,1
raw:交枪事件,raw:交枪事件,1
raw:交枪投降,raw:交枪投降,1
raw:交流稳定于,raw:交流稳定于,1
raw:交涉/拒绝,raw:交涉/拒绝,1
raw:交火,raw:交火,1
raw:交界区域,raw:交界区域,1
raw:交还,raw:交还,1
raw:交通,raw:交通,1
raw:交通-地点,raw:交通-地点,1
raw:交通/地理,raw:交通/地理,1
raw:交通/经济支援,raw:交通/经济支援,1
raw:交通关联,raw:交通关联,1
raw:交通员关系,raw:交通员关系,1
raw:交通员安排,dispatched,1
raw:交通往来,raw:交通往来,1
raw:交通站,raw:交通站,1
raw:交通站关联,raw:交通站关联,1
raw:交通站联系,contacted,1
raw:交通站负责人,raw:交通站负责人,1
raw:交通线路,raw:交通线路,1
raw:交通要道,raw:交通要道,1
raw:交通设施,raw:交通设施,1
raw:交锋,raw:交锋,1
raw:交集,raw:交集,1
raw:产业基础,raw:产业基础,1
raw:产出,created,1
raw:产出地,raw:产出地,1
raw:产物关系,raw:产物关系,1
raw:产生于,raw:产生于,1
raw:产生关系,raw:产生关系,1
raw:产生组织,raw:产生组织,1
raw:产生者,raw:产生者,1
raw:亮出,raw:亮出,1
raw:亲历/总结,raw:亲历/总结,1
raw:亲历与纪念,raw:亲历与纪念,1
raw:亲历与记录,raw:亲历与记录,1
raw:亲历于,raw:亲历于,1
raw:亲历者,participated_in,1
raw:亲历者-地点,raw:亲历者-地点,1
raw:亲历记录,raw:亲历记录,1
raw:亲子关系,family_of,1
raw:亲属-影响,raw:亲属-影响,1
raw:亲属保护,raw:亲属保护,1
raw:亲自交涉策反,raw:亲自交涉策反,1
raw:亲自接见,raw:亲自接见,1
raw:亲自物色,raw:亲自物色,1
raw:亲自组织,organized,1
raw:亲近,raw:亲近,1
raw:人-职,held_position_in,1
raw:人-职务,raw:人-职务,1
raw:人/地,raw:人/地,1
raw:人/地关联,raw:人/地关联,1
raw:人/魂,raw:人/魂,1
raw:人事任免,raw:人事任免,1
raw:人事关系,raw:人事关系,1
raw:人事调配,raw:人事调配,1
raw:人员-活动,raw:人员-活动,1
raw:人员派遣,raw:人员派遣,1
raw:人员评价,raw:人员评价,1
raw:人员转移,raw:人员转移,1
raw:人员转移路径,raw:人员转移路径,1
raw:人物-主导,led,1
raw:人物-事,raw:人物-事,1
raw:人物-任职,held_position_in,1
raw:人物-任职地,stationed_at,1
raw:人物-创办,created,1
raw:人物-创建,created,1
raw:人物-制造,created,1
raw:人物-区域,raw:人物-区域,1
raw:人物-单位,raw:人物-单位,1
raw:人物-反馈,raw:人物-反馈,1
raw:人物-地域关联,raw:人物-地域关联,1
raw:人物-奔赴,traveled_to,1
raw:人物-对象,raw:人物-对象,1
raw:人物-导致,influenced,1
raw:人物-就义地,died_at,1
raw:人物-就读,raw:人物-就读,1
raw:人物-建立,raw:人物-建立,1
raw:人物-影响,influenced,1
raw:人物-影响,raw:人物-影响,1
raw:人物-影响范围,influenced,1
raw:人物-情感,raw:人物-情感,1
raw:人物-所属单位,member_of,1
raw:人物-执行,implemented,1
raw:人物-指挥,commanded,1
raw:人物-指示,dispatched,1
raw:人物-时代,raw:人物-时代,1
raw:人物-活动,raw:人物-活动,1
raw:人物-活动于,active_at,1
raw:人物-活动地,stationed_at,1
raw:人物-活动地点,active_at,1
raw:人物-物,used_artifact,1
raw:人物-籍贯,raw:人物-籍贯,1
raw:人物-组织关系,raw:人物-组织关系,1
raw:人物-群体,raw:人物-群体,1
raw:人物-职务,held_position_in,1
raw:人物-记载,raw:人物-记载,1
raw:人物-设施,raw:人物-设施,1
raw:人物-诉求,advocated,1
raw:人物-遗物,raw:人物-遗物,1
raw:人物-领导,led,1
raw:人物与出生地关联,born_at,1
raw:人物与历史时期,raw:人物与历史时期,1
raw:人物与地域,raw:人物与地域,1
raw:人物与场所,raw:人物与场所,1
raw:人物与场所关联,raw:人物与场所关联,1
raw:人物与媒体,raw:人物与媒体,1
raw:人物与文物关联,raw:人物与文物关联,1
raw:人物与时间关联,raw:人物与时间关联,1
raw:人物与机构,raw:人物与机构,1
raw:人物与机构关联,raw:人物与机构关联,1
raw:人物与活动地域,active_at,1
raw:人物与活动地点,active_at,1
raw:人物与职务关联,raw:人物与职务关联,1
raw:人物互动,raw:人物互动,1
raw:人物作用,raw:人物作用,1
raw:人物参与,participated_in,1
raw:人物参与事件,raw:人物参与事件,1
raw:人物地点关联,raw:人物地点关联,1
raw:人物归属,member_of,1
raw:人物所属组织,member_of,1
raw:人物所属组织,raw:人物所属组织,1
raw:人物机构关系,raw:人物机构关系,1
raw:人物活动地域,active_at,1
raw:人物活动场所,raw:人物活动场所,1
raw:人物行为,raw:人物行为,1
raw:人物行为关联,raw:人物行为关联,1
raw:人物驻地,stationed_at,1
raw:人生选择,raw:人生选择,1
raw:人质关系,raw:人质关系,1
raw:人际关联,raw:人际关联,1
raw:仇人,raw:仇人,1
raw:仇恨/斗争,raw:仇恨/斗争,1
raw:介入,participated_in,1
raw:介绍/派遣,dispatched,1
raw:介绍与指导,raw:介绍与指导,1
raw:介绍人-被介绍人,raw:介绍人-被介绍人,1
raw:介绍任教,raw:介绍任教,1
raw:介绍信传递,raw:介绍信传递,1
raw:介绍入党,recruited,1
raw:介绍入党/工作,introduced,1
raw:介绍入党的人物,introduced,1
raw:介绍入职,raw:介绍入职,1
raw:介绍加入党组织,raw:介绍加入党组织,1
raw:介绍招收,raw:介绍招收,1
raw:介绍民先队员,raw:介绍民先队员,1
raw:介绍特派员,raw:介绍特派员,1
raw:介绍路线,raw:介绍路线,1
raw:从事,worked_at,1
raw:从事于,participated_in,1
raw:从事于,worked_at,1
raw:从事革命于,raw:从事革命于,1
raw:从事革命启蒙工作,raw:从事革命启蒙工作,1
raw:从属关系,raw:从属关系,1
raw:从工商户处拿到盒子枪,raw:从工商户处拿到盒子枪,1
raw:付款,raw:付款,1
raw:代替与补充,raw:代替与补充,1
raw:代理指挥,raw:代理指挥,1
raw:代理政委,held_position_in,1
raw:代理秘书,raw:代理秘书,1
raw:代理职务,held_position_in,1
raw:代理职务,raw:代理职务,1
raw:代管治疗,raw:代管治疗,1
raw:代耕,raw:代耕,1
raw:代表-事件,organized,1
raw:代表单位,raw:代表单位,1
raw:代表执行,carried_out,1
raw:代表组织,raw:代表组织,1
raw:代表身份,raw:代表身份,1
raw:代表阅兵,participated_in,1
raw:代销,raw:代销,1
raw:令突围,commanded,1
raw:令转,raw:令转,1
raw:仪式场所,raw:仪式场所,1
raw:价拨,raw:价拨,1
raw:任主席,held_position_in,1
raw:任务-地点,stationed_at,1
raw:任务-目标,raw:任务-目标,1
raw:任务-负责人,responsible_for,1
raw:任务下达,dispatched,1
raw:任务下达-执行者,raw:任务下达-执行者,1
raw:任务下达方,appointed,1
raw:任务交代,dispatched,1
raw:任务交待,raw:任务交待,1
raw:任务传达,raw:任务传达,1
raw:任务关系,raw:任务关系,1
raw:任务区,raw:任务区,1
raw:任务区域,raw:任务区域,1
raw:任务协作,collaborated_with,1
raw:任务地点,stationed_at,1
raw:任务安排,raw:任务安排,1
raw:任务对象,raw:任务对象,1
raw:任务布置者,appointed,1
raw:任务执行,raw:任务执行,1
raw:任务执行关系,raw:任务执行关系,1
raw:任务执行者,raw:任务执行者,1
raw:任务指向,raw:任务指向,1
raw:任务指派者,appointed,1
raw:任务派遣方-执行者,dispatched,1
raw:任务目标,raw:任务目标,1
raw:任务目标-协助者,raw:任务目标-协助者,1
raw:任务目的地,traveled_to,1
raw:任务联系,raw:任务联系,1
raw:任务行动,raw:任务行动,1
raw:任务调动,dispatched,1
raw:任务调动,raw:任务调动,1
raw:任命-负责人,raw:任命-负责人,1
raw:任命/支持,raw:任命/支持,1
raw:任命/改造,raw:任命/改造,1
raw:任命前敌政委,raw:任命前敌政委,1
raw:任庭长,raw:任庭长,1
raw:任支部书记,held_position_in,1
raw:任支队长,commanded,1
raw:任教/隐蔽,raw:任教/隐蔽,1
raw:任教/领导,raw:任教/领导,1
raw:任教单位,raw:任教单位,1
raw:任教发展组织,raw:任教发展组织,1
raw:任教员,worked_at,1
raw:任教宣传,raw:任教宣传,1
raw:任教掩护,raw:任教掩护,1
raw:任教者,raw:任教者,1
raw:任班长,raw:任班长,1
raw:任职-地点,raw:任职-地点,1
raw:任职-组织,raw:任职-组织,1
raw:任职/建立,raw:任职/建立,1
raw:任职分配,raw:任职分配,1
raw:任职办学,raw:任职办学,1
raw:任职区域,stationed_at,1
raw:任职地区,stationed_at,1
raw:任职宣传,raw:任职宣传,1
raw:任职店员,raw:任职店员,1
raw:任职时间,raw:任职时间,1
raw:任职活动,raw:任职活动,1
raw:任职组织,raw:任职组织,1
raw:任职经历,raw:任职经历,1
raw:任职领导,held_position_in,1
raw:任职领导,raw:任职领导,1
raw:任队长,raw:任队长,1
raw:仿制,raw:仿制,1
raw:企图兼并,raw:企图兼并,1
raw:企图叛变,raw:企图叛变,1
raw:企图围缴,raw:企图围缴,1
raw:企图抓捕,raw:企图抓捕,1
raw:企图接管,raw:企图接管,1
raw:企图撤退,raw:企图撤退,1
raw:企图汇合,raw:企图汇合,1
raw:企图突破,raw:企图突破,1
raw:企图调遣,raw:企图调遣,1
raw:企图越过,raw:企图越过,1
raw:企图逮捕,raw:企图逮捕,1
raw:伏击/追击,raw:伏击/追击,1
raw:伏击作战,raw:伏击作战,1
raw:伏击全歼,raw:伏击全歼,1
raw:伏击受降,raw:伏击受降,1
raw:伏击对象,raw:伏击对象,1
raw:伏击战场,fought_at,1
raw:伏击杀害,raw:伏击杀害,1
raw:伏击歼匪,fought_at,1
raw:伏击歼灭战,raw:伏击歼灭战,1
raw:伏击牺牲,raw:伏击牺牲,1
raw:伏击缴获,raw:伏击缴获,1
raw:伏击行动,raw:伏击行动,1
raw:伏击阵地,raw:伏击阵地,1
raw:伏击阻击,raw:伏击阻击,1
raw:休养地点,raw:休养地点,1
raw:休息,raw:休息,1
raw:休整地点,raw:休整地点,1
raw:休整宣传,raw:休整宣传,1
raw:休整点,stationed_at,1
raw:优势上升,raw:优势上升,1
raw:优化,raw:优化,1
raw:优待于,raw:优待于,1
raw:会合事件,raw:会合事件,1
raw:会合于,met_with,1
raw:会合关系,met_with,1
raw:会合掩护,raw:会合掩护,1
raw:会合目标,raw:会合目标,1
raw:会合行动,raw:会合行动,1
raw:会址,occurred_at,1
raw:会址,raw:会址,1
raw:会址设在,located_in,1
raw:会师/休整,raw:会师/休整,1
raw:会师/整编,raw:会师/整编,1
raw:会师/统一行动,raw:会师/统一行动,1
raw:会师/联合,raw:会师/联合,1
raw:会师/联欢,raw:会师/联欢,1
raw:会师事件,raw:会师事件,1
raw:会师关系,met_with,1
raw:会师关联,raw:会师关联,1
raw:会师协同,collaborated_with,1
raw:会师合作,raw:会师合作,1
raw:会师对象,raw:会师对象,1
raw:会师联络,met_with,1
raw:会师配合,raw:会师配合,1
raw:会晤,met_with,1
raw:会晤地点,raw:会晤地点,1
raw:会编,raw:会编,1
raw:会见/赞扬,raw:会见/赞扬,1
raw:会议-行为,raw:会议-行为,1
raw:会议-部署,raw:会议-部署,1
raw:会议/决策,raw:会议/决策,1
raw:会议中心,raw:会议中心,1
raw:会议主持者,raw:会议主持者,1
raw:会议举办地关联,raw:会议举办地关联,1
raw:会议于,occurred_at,1
raw:会议于,raw:会议于,1
raw:会议参与者,participated_in,1
raw:会议召开地,occurred_at,1
raw:会议地,raw:会议地,1
raw:会议形式-事件,raw:会议形式-事件,1
raw:会议组织者,organized,1
raw:会谈于,raw:会谈于,1
raw:会谈双方,raw:会谈双方,1
raw:会面于,raw:会面于,1
raw:会面地点,raw:会面地点,1
raw:会面对象,met_with,1
raw:传信,raw:传信,1
raw:传信/尊重,raw:传信/尊重,1
raw:传入,raw:传入,1
raw:传唱/动员,raw:传唱/动员,1
raw:传唱/启蒙,raw:传唱/启蒙,1
raw:传唱/宣传,raw:传唱/宣传,1
raw:传唱/记录,raw:传唱/记录,1
raw:传承地,raw:传承地,1
raw:传承载体,transmitted_by,1
raw:传授思想于,raw:传授思想于,1
raw:传播-单位,raw:传播-单位,1
raw:传播-对象,raw:传播-对象,1
raw:传播/信服,raw:传播/信服,1
raw:传播/影响,raw:传播/影响,1
raw:传播事件,raw:传播事件,1
raw:传播使用,raw:传播使用,1
raw:传播关联,raw:传播关联,1
raw:传播场所,raw:传播场所,1
raw:传播媒介-事件关联,raw:传播媒介-事件关联,1
raw:传播媒介-人物,raw:传播媒介-人物,1
raw:传播媒介-地点,raw:传播媒介-地点,1
raw:传播影响,influenced,1
raw:传播支持,supported,1
raw:传播文献,raw:传播文献,1
raw:传播真理,raw:传播真理,1
raw:传播者-事件,raw:传播者-事件,1
raw:传播者-政策来源,raw:传播者-政策来源,1
raw:传播者-文件,raw:传播者-文件,1
raw:传播者-文献,raw:传播者-文献,1
raw:传播者-材料,raw:传播者-材料,1
raw:传播者-活动,raw:传播者-活动,1
raw:传播者与被传播者,raw:传播者与被传播者,1
raw:传播至,raw:传播至,1
raw:传播革命思想,raw:传播革命思想,1
raw:传说,raw:传说,1
raw:传达/指示,raw:传达/指示,1
raw:传达/迟缓,raw:传达/迟缓,1
raw:传达/通知,raw:传达/通知,1
raw:传达任务,raw:传达任务,1
raw:传达信息,raw:传达信息,1
raw:传达关于发展工作问题,raw:传达关于发展工作问题,1
raw:传达决定,raw:传达决定,1
raw:传达决策,raw:传达决策,1
raw:传达命令,commanded,1
raw:传达改组决定,raw:传达改组决定,1
raw:传达者-事件,raw:传达者-事件,1
raw:传达者-会议,raw:传达者-会议,1
raw:传达者-决议,raw:传达者-决议,1
raw:传达落实,raw:传达落实,1
raw:传达计划,raw:传达计划,1
raw:传达部署,dispatched,1
raw:传递书籍,raw:传递书籍,1
raw:传递内容,raw:传递内容,1
raw:传递媒介,raw:传递媒介,1
raw:传递物品,raw:传递物品,1
raw:传递者-文件,raw:传递者-文件,1
raw:传递者-物品,raw:传递者-物品,1
raw:传遍,raw:传遍,1
raw:伤亡事件,raw:伤亡事件,1
raw:伤员转运路线,raw:伤员转运路线,1
raw:伪装,raw:伪装,1
raw:伪装宣传,raw:伪装宣传,1
raw:伪装成,raw:伪装成,1
raw:伪装投降,raw:伪装投降,1
raw:伪装脱险,raw:伪装脱险,1
raw:估计不足,raw:估计不足,1
raw:伴侣/战友,raw:伴侣/战友,1
raw:伴侣关系,spouse_of,1
raw:佃农与地主,raw:佃农与地主,1
raw:位于于,located_in,1
raw:位置,raw:位置,1
raw:住地,stationed_at,1
raw:住址,raw:住址,1
raw:住宿/写标语,raw:住宿/写标语,1
raw:住宿/工作,raw:住宿/工作,1
raw:住宿/掩护,raw:住宿/掩护,1
raw:住宿地,raw:住宿地,1
raw:住宿地点,raw:住宿地点,1
raw:住过,raw:住过,1
raw:住过,stationed_at,1
raw:住进,raw:住进,1
raw:体现-事件,embodied_in_event,1
raw:体现于,embodied_by_organization,1
raw:体现于,embodied_by_person,1
raw:体现关系,raw:体现关系,1
raw:体现者,raw:体现者,1
raw:体现觉悟,raw:体现觉悟,1
raw:体现载体,raw:体现载体,1
raw:作为基地开展,raw:作为基地开展,1
raw:作为对象,raw:作为对象,1
raw:作内线,raw:作内线,1
raw:作出决定,raw:作出决定,1
raw:作出贡献,raw:作出贡献,1
raw:作品,raw:作品,1
raw:作品展示,raw:作品展示,1
raw:作品类型,raw:作品类型,1
raw:作战,opposed,1
raw:作战-区域,raw:作战-区域,1
raw:作战-地点,fought_at,1
raw:作战-目标,fought_at,1
raw:作战-追剿区域,raw:作战-追剿区域,1
raw:作战主体,raw:作战主体,1
raw:作战位置,fought_at,1
raw:作战依托,raw:作战依托,1
raw:作战区域-指挥官,raw:作战区域-指挥官,1
raw:作战区域关系,raw:作战区域关系,1
raw:作战区域关联,raw:作战区域关联,1
raw:作战单位-战场,raw:作战单位-战场,1
raw:作战单位-战役,participated_in,1
raw:作战单位-根据地,raw:作战单位-根据地,1
raw:作战地,fought_at,1
raw:作战对抗,raw:作战对抗,1
raw:作战手段,raw:作战手段,1
raw:作战指挥,commanded,1
raw:作战支援,raw:作战支援,1
raw:作战方-对手,raw:作战方-对手,1
raw:作战方向,raw:作战方向,1
raw:作战方式,raw:作战方式,1
raw:作战水域,raw:作战水域,1
raw:作战转移,raw:作战转移,1
raw:作报告传达,raw:作报告传达,1
raw:作曲,created,1
raw:作案地点,raw:作案地点,1
raw:作案工具,used_in_event,1
raw:作案者,raw:作案者,1
raw:作用分割,raw:作用分割,1
raw:作结论,raw:作结论,1
raw:作者/分析者,raw:作者/分析者,1
raw:作者关联,raw:作者关联,1
raw:作词,raw:作词,1
raw:作重要发言,raw:作重要发言,1
raw:作颂,raw:作颂,1
raw:佯攻于,fought_at,1
raw:佯攻牵制,raw:佯攻牵制,1
raw:使用-对象,used_artifact,1
raw:使用-工具,used_artifact,1
raw:使用-材料,raw:使用-材料,1
raw:使用/遗留,raw:使用/遗留,1
raw:使用保管,raw:使用保管,1
raw:使用关系,raw:使用关系,1
raw:使用地,raw:使用地,1
raw:使用场景,raw:使用场景,1
raw:使用对象,raw:使用对象,1
raw:使用期,raw:使用期,1
raw:使用武器,used_in_event,1
raw:使用物,used_in_event,1
raw:使用物品,used_artifact,1
raw:使用物资,raw:使用物资,1
raw:使用者-工具,raw:使用者-工具,1
raw:使用者-武器,raw:使用者-武器,1
raw:使用范围,raw:使用范围,1
raw:使用装备,used_artifact,1
raw:使用证据,raw:使用证据,1
raw:使用货币,raw:使用货币,1
raw:使用遗留,used_artifact,1
raw:侄儿,raw:侄儿,1
raw:例证,raw:例证,1
raw:供奉纪念,raw:供奉纪念,1
raw:供应-需求,raw:供应-需求,1
raw:供应关系,raw:供应关系,1
raw:供应对象,used_artifact,1
raw:供应来源,raw:供应来源,1
raw:供应者-使用者,raw:供应者-使用者,1
raw:供情报,raw:供情报,1
raw:供稿人,raw:供稿人,1
raw:供稿地,raw:供稿地,1
raw:供稿者,raw:供稿者,1
raw:供粮关系,raw:供粮关系,1
raw:供给关系,raw:供给关系,1
raw:供职,raw:供职,1
raw:供词关联,raw:供词关联,1
raw:供餐场所,raw:供餐场所,1
raw:依托体系,raw:依托体系,1
raw:依托地-武装力量,raw:依托地-武装力量,1
raw:依托地理,raw:依托地理,1
raw:依托对象,raw:依托对象,1
raw:依托水系,raw:依托水系,1
raw:依托设施,raw:依托设施,1
raw:依托资源,raw:依托资源,1
raw:依托载体,raw:依托载体,1
raw:依托阵地,raw:依托阵地,1
raw:依据材料,raw:依据材料,1
raw:依法执行,implemented,1
raw:依赖于,raw:依赖于,1
raw:依附关系,raw:依附关系,1
raw:侦听,raw:侦听,1
raw:侦察-目标,raw:侦察-目标,1
raw:侦察/接近,raw:侦察/接近,1
raw:侦察准备,raw:侦察准备,1
raw:侦察地点,raw:侦察地点,1
raw:侦察指挥,raw:侦察指挥,1
raw:侦察敌情,raw:侦察敌情,1
raw:侦察活动,raw:侦察活动,1
raw:侦察联络,raw:侦察联络,1
raw:侦察部署,stationed_at,1
raw:侦悉,raw:侦悉,1
raw:侦报敌情,raw:侦报敌情,1
raw:侦捕,raw:侦捕,1
raw:侦查逮捕,raw:侦查逮捕,1
raw:侦测,raw:侦测,1
raw:侦破对象,raw:侦破对象,1
raw:侵入,raw:侵入,1
raw:侵害关系,raw:侵害关系,1
raw:侵扰,raw:侵扰,1
raw:侵略,raw:侵略,1
raw:侵略事件,raw:侵略事件,1
raw:促使,influenced,1
raw:促成因素,raw:促成因素,1
raw:促成改名,raw:促成改名,1
raw:促成者,raw:促成者,1
raw:促进建立,raw:促进建立,1
raw:俘毙,raw:俘毙,1
raw:俘虏/交涉,raw:俘虏/交涉,1
raw:保卫对象-地理区域,raw:保卫对象-地理区域,1
raw:保卫行动,protected,1
raw:保卫行动,raw:保卫行动,1
raw:保存/保护,raw:保存/保护,1
raw:保存/运营,raw:保存/运营,1
raw:保存单位,raw:保存单位,1
raw:保存地点,raw:保存地点,1
raw:保存实力,raw:保存实力,1
raw:保存者与被保存物,raw:保存者与被保存物,1
raw:保存转移,raw:保存转移,1
raw:保护-对象,raw:保护-对象,1
raw:保护/修缮,raw:保护/修缮,1
raw:保护/协助,raw:保护/协助,1
raw:保护/宣传,raw:保护/宣传,1
raw:保护/平反,raw:保护/平反,1
raw:保护/打击,raw:保护/打击,1
raw:保护/接管,raw:保护/接管,1
raw:保护/掩护,protected,1
raw:保护/支前,raw:保护/支前,1
raw:保护/斥退,raw:保护/斥退,1
raw:保护/转移,raw:保护/转移,1
raw:保护/送别,raw:保护/送别,1
raw:保护/领导,raw:保护/领导,1
raw:保护人员,protected,1
raw:保护对象-责任人,raw:保护对象-责任人,1
raw:保护对象与保护者,raw:保护对象与保护者,1
raw:保护政工队员,raw:保护政工队员,1
raw:保护机构,raw:保护机构,1
raw:保护目标,raw:保护目标,1
raw:保护维持,raw:保护维持,1
raw:保护者-组织,raw:保护者-组织,1
raw:保护行动,protected,1
raw:保护进步师生,protected,1
raw:保管与转移,raw:保管与转移,1
raw:保管文件,raw:保管文件,1
raw:保管者-物品,raw:保管者-物品,1
raw:保粮据点,raw:保粮据点,1
raw:保荐,raw:保荐,1
raw:保送学习,raw:保送学习,1
raw:保释者,raw:保释者,1
raw:保障,protected,1
raw:保障关系,raw:保障关系,1
raw:保障安全,raw:保障安全,1
raw:信仰冲突,raw:信仰冲突,1
raw:信件转送,raw:信件转送,1
raw:信任/回家,raw:信任/回家,1
raw:信任/接纳,raw:信任/接纳,1
raw:信息传播场所,raw:信息传播场所,1
raw:信息传播网络,raw:信息传播网络,1
raw:信息传播载体,raw:信息传播载体,1
raw:信息传递关联,raw:信息传递关联,1
raw:信息支持,raw:信息支持,1
raw:信息汇报,reported_to,1
raw:信息源,raw:信息源,1
raw:信息联动,raw:信息联动,1
raw:信息联络,raw:信息联络,1
raw:信息获取,raw:信息获取,1
raw:信息输入,raw:信息输入,1
raw:修好,raw:修好,1
raw:修建/命名,raw:修建/命名,1
raw:修建纪念碑,raw:修建纪念碑,1
raw:修建者与建筑,raw:修建者与建筑,1
raw:修正,raw:修正,1
raw:修正为,raw:修正为,1
raw:修筑于,raw:修筑于,1
raw:修缮/保护,raw:修缮/保护,1
raw:修订,raw:修订,1
raw:修铺,raw:修铺,1
raw:倒酒,raw:倒酒,1
raw:候选资格,raw:候选资格,1
raw:借,raw:借,1
raw:借宿宣传,raw:借宿宣传,1
raw:借宿就餐,raw:借宿就餐,1
raw:借宿饮酒,raw:借宿饮酒,1
raw:借得,raw:借得,1
raw:借枪,raw:借枪,1
raw:借枪联络,raw:借枪联络,1
raw:借枪请求,raw:借枪请求,1
raw:借用,raw:借用,1
raw:借用/补偿,raw:借用/补偿,1
raw:借用归还,raw:借用归还,1
raw:借给,raw:借给,1
raw:借阅书籍,raw:借阅书籍,1
raw:倡议,organized,1
raw:倡议,raw:倡议,1
raw:倡议筹备,raw:倡议筹备,1
raw:倾听,raw:倾听,1
raw:倾诉,raw:倾诉,1
raw:假夫妻关系,raw:假夫妻关系,1
raw:做内应,raw:做内应,1
raw:做工,raw:做工,1
raw:做说客,raw:做说客,1
raw:做鞋,raw:做鞋,1
raw:停办,raw:停办,1
raw:停留,raw:停留,1
raw:停留,stationed_at,1
raw:偶遇,met_with,1
raw:偶遇,raw:偶遇,1
raw:偷摸,raw:偷摸,1
raw:储存,raw:储存,1
raw:储粮地点,raw:储粮地点,1
raw:充实改选,raw:充实改选,1
raw:充实调整,raw:充实调整,1
raw:充实领导,raw:充实领导,1
raw:先后,raw:先后,1
raw:先后两次进入,raw:先后两次进入,1
raw:先后步骤,raw:先后步骤,1
raw:先后顺序,raw:先后顺序,1
raw:先遣,raw:先遣,1
raw:克复,liberated,1
raw:克复,raw:克复,1
raw:免去兼职,raw:免去兼职,1
raw:免职,raw:免职,1
raw:党员,raw:党员,1
raw:党员关系,member_of,1
raw:党员关系,raw:党员关系,1
raw:党员学生,raw:党员学生,1
raw:党员身份,member_of,1
raw:党组织交接,raw:党组织交接,1
raw:党组织关系,raw:党组织关系,1
raw:党组织关系所在地,raw:党组织关系所在地,1
raw:党组织建立,created,1
raw:党组织活动区域,raw:党组织活动区域,1
raw:党组织联系,raw:党组织联系,1
raw:入伍,member_of,1
raw:入侵行动,raw:入侵行动,1
raw:入党,member_of,1
raw:入党于,raw:入党于,1
raw:入党介绍关系,raw:入党介绍关系,1
raw:入党关系,member_of,1
raw:入党宣誓于,raw:入党宣誓于,1
raw:入党对象,raw:入党对象,1
raw:入党批准机构,raw:入党批准机构,1
raw:入党时间,raw:入党时间,1
raw:入党请求,raw:入党请求,1
raw:入城,raw:入城,1
raw:入城解放,liberated,1
raw:入股,raw:入股,1
raw:入赣,raw:入赣,1
raw:入闽,raw:入闽,1
raw:入黔作战,raw:入黔作战,1
raw:全俘,raw:全俘,1
raw:全力支前,raw:全力支前,1
raw:全歼敌于,raw:全歼敌于,1
raw:公判处决,killed,1
raw:公审枪决,raw:公审枪决,1
raw:公开,raw:公开,1
raw:公开审判处决,raw:公开审判处决,1
